"","time","A1","A2","A3","A4","A5","A6","F1","F2","F3","F4","F5","F6","L2","L3","L5","L6","L8","L9","blank"
"50",12.25,0.3143,0.315725,0.31865,0.3195,0.326325,0.326075,0.296025,0.30145,0.305425,0.299575,0.30605,0.304425,0.298425,0.298075,0.30125,0.29795,0.29605,0.302575,0.0875125
"51",12.5,0.313225,0.31595,0.316825,0.318775,0.3264,0.32635,0.2959,0.3001,0.304675,0.298625,0.30495,0.303875,0.29915,0.29745,0.301,0.2976,0.2956,0.30245,0.0875958333333333
"52",12.75,0.31335,0.315475,0.317225,0.318825,0.326775,0.325875,0.294675,0.300475,0.3034,0.29745,0.304875,0.303025,0.29775,0.2966,0.29965,0.297325,0.29595,0.3029,0.0875875
"53",13,0.312625,0.314625,0.317075,0.318125,0.32605,0.3256,0.2942,0.2984,0.303025,0.297025,0.3043,0.302275,0.297575,0.29595,0.2998,0.29695,0.294925,0.303325,0.0876541666666667
"54",13.25,0.311475,0.31515,0.316975,0.318275,0.3263,0.3268,0.293275,0.29865,0.3023,0.296325,0.303675,0.30215,0.297425,0.295225,0.297925,0.296975,0.2943,0.3035,0.0878958333333333
"55",13.5,0.3126,0.315275,0.31745,0.3189,0.325975,0.32575,0.292625,0.2984,0.3021,0.2957,0.302825,0.3024,0.2964,0.295025,0.29775,0.29555,0.293925,0.301275,0.0875125
"56",13.75,0.312125,0.3143,0.316075,0.317725,0.32595,0.326075,0.29205,0.298275,0.30175,0.295725,0.301975,0.3019,0.294875,0.29435,0.29745,0.29545,0.293575,0.30075,0.0875125
"57",14,0.311525,0.314725,0.316825,0.31865,0.326425,0.325175,0.29155,0.297225,0.301025,0.296175,0.300925,0.3013,0.294575,0.2938,0.296425,0.29465,0.29305,0.299,0.0876875
"58",14.25,0.310875,0.313825,0.316025,0.318025,0.326475,0.325525,0.290775,0.295925,0.29995,0.2943,0.30075,0.300625,0.293275,0.293275,0.2964,0.294125,0.291525,0.301375,0.0875291666666667
"59",14.5,0.310775,0.312975,0.314825,0.31805,0.326275,0.32655,0.29025,0.2955,0.29935,0.29355,0.300025,0.29915,0.292725,0.292775,0.29585,0.2928,0.290725,0.29995,0.08745
"60",14.75,0.31035,0.313175,0.315425,0.31765,0.3243,0.326125,0.289475,0.29535,0.29865,0.292625,0.2992,0.299675,0.292175,0.29155,0.294975,0.2926,0.289925,0.29885,0.0875791666666667
"61",15,0.3097,0.313725,0.315375,0.317225,0.3253,0.324525,0.28925,0.294075,0.29835,0.292075,0.298325,0.298925,0.292925,0.290925,0.2943,0.291475,0.289725,0.298,0.0874958333333333
